time,Latitud,Longitud,Tiempo_Medicion,Vel_Viento,Direccion_Viento,Direccion_Viento_Modelo
2026-05-09,7.625,-86.875,,,,
2026-05-09,7.625,-86.625,,,,
2026-05-09,7.625,-86.375,,,,
2026-05-09,7.625,-86.125,,,,
2026-05-09,7.625,-85.875,,,,
2026-05-09,7.625,-85.625,,,,
2026-05-09,7.625,-85.375,,,,
2026-05-09,7.625,-85.125,,,,
2026-05-09,7.625,-84.875,,,,
2026-05-09,7.625,-84.625,,,,
2026-05-09,7.625,-84.375,,,,
2026-05-09,7.625,-84.125,,,,
2026-05-09,7.625,-83.875,,,,
2026-05-09,7.625,-83.625,,,,
2026-05-09,7.625,-83.375,,,,
2026-05-09,7.625,-83.125,,,,
2026-05-09,7.625,-82.875,,,,
2026-05-09,7.625,-82.625,,,,
2026-05-09,7.625,-82.375,,,,
2026-05-09,7.625,-82.125,,,,
2026-05-09,7.875,-86.875,,,,
2026-05-09,7.875,-86.625,,,,
2026-05-09,7.875,-86.375,,,,
2026-05-09,7.875,-86.125,,,,
2026-05-09,7.875,-85.875,,,,
2026-05-09,7.875,-85.625,,,,
2026-05-09,7.875,-85.375,,,,
2026-05-09,7.875,-85.125,,,,
2026-05-09,7.875,-84.875,,,,
2026-05-09,7.875,-84.625,,,,
2026-05-09,7.875,-84.375,,,,
2026-05-09,7.875,-84.125,,,,
2026-05-09,7.875,-83.875,,,,
2026-05-09,7.875,-83.625,,,,
2026-05-09,7.875,-83.375,,,,
2026-05-09,7.875,-83.125,,,,
2026-05-09,7.875,-82.875,,,,
2026-05-09,7.875,-82.625,,,,
2026-05-09,7.875,-82.375,,,,
2026-05-09,7.875,-82.125,,,,
2026-05-09,8.125,-86.875,,,,
2026-05-09,8.125,-86.625,,,,
2026-05-09,8.125,-86.375,,,,
2026-05-09,8.125,-86.125,,,,
2026-05-09,8.125,-85.875,,,,
2026-05-09,8.125,-85.625,,,,
2026-05-09,8.125,-85.375,,,,
2026-05-09,8.125,-85.125,,,,
2026-05-09,8.125,-84.875,,,,
2026-05-09,8.125,-84.625,,,,
2026-05-09,8.125,-84.375,,,,
2026-05-09,8.125,-84.125,,,,
2026-05-09,8.125,-83.875,,,,
