Fecha,Region,Latitud,Longitud,Temp_Promedio,Temp_Minima,Temp_Maxima,Precipitacion,Vel_Viento
2022-01-01,Caribe,9.9913,-83.0415,26.1,20.0,28.8,,7.4
2022-01-02,Caribe,9.9913,-83.0415,25.9,19.4,28.6,,8.7
2022-01-03,Caribe,9.9913,-83.0415,25.1,21.5,28.8,,7.7
2022-01-04,Caribe,9.9913,-83.0415,26.8,20.5,29.0,,8.7
2022-01-05,Caribe,9.9913,-83.0415,25.1,19.4,29.3,,8.4
2022-01-06,Caribe,9.9913,-83.0415,25.1,18.2,28.2,,7.9
2022-01-07,Caribe,9.9913,-83.0415,25.8,18.4,28.7,,8.6
2022-01-08,Caribe,9.9913,-83.0415,25.9,19.2,28.7,,10.6
2022-01-09,Caribe,9.9913,-83.0415,25.8,19.3,29.2,,8.9
2022-01-10,Caribe,9.9913,-83.0415,25.2,18.5,28.5,,7.0
2022-01-11,Caribe,9.9913,-83.0415,24.6,20.0,29.0,,8.5
2022-01-12,Caribe,9.9913,-83.0415,26.1,19.6,29.3,,9.2
2022-01-13,Caribe,9.9913,-83.0415,26.3,19.6,29.1,,12.2
2022-01-14,Caribe,9.9913,-83.0415,25.5,18.7,28.6,,8.3
2022-01-15,Caribe,9.9913,-83.0415,26.0,21.2,28.4,,9.7
2022-01-16,Caribe,9.9913,-83.0415,26.3,20.8,28.8,,8.9
2022-01-17,Caribe,9.9913,-83.0415,26.9,20.3,29.0,,11.0
2022-01-18,Caribe,9.9913,-83.0415,24.5,19.9,29.4,,9.9
2022-01-19,Caribe,9.9913,-83.0415,25.9,20.7,28.9,,9.8
2022-01-20,Caribe,9.9913,-83.0415,26.8,19.6,29.0,,8.9
2022-01-21,Caribe,9.9913,-83.0415,26.7,19.4,29.5,,9.2
2022-01-22,Caribe,9.9913,-83.0415,26.1,20.6,29.9,,8.7
2022-01-23,Caribe,9.9913,-83.0415,26.6,20.7,29.1,,10.6
2022-01-24,Caribe,9.9913,-83.0415,26.7,19.1,29.8,,10.0
2022-01-25,Caribe,9.9913,-83.0415,25.7,17.3,29.6,,8.7
2022-01-26,Caribe,9.9913,-83.0415,26.3,19.0,29.0,,10.1
2022-01-27,Caribe,9.9913,-83.0415,25.9,19.0,29.0,,8.5
2022-01-28,Caribe,9.9913,-83.0415,26.1,19.4,28.1,,10.2
2022-01-29,Caribe,9.9913,-83.0415,26.3,20.1,28.8,,9.4
2022-01-30,Caribe,9.9913,-83.0415,27.3,20.6,29.4,,9.4
2022-01-31,Caribe,9.9913,-83.0415,25.6,20.4,29.6,,11.4
2022-02-01,Caribe,9.9913,-83.0415,25.9,19.4,28.1,,10.1
2022-02-02,Caribe,9.9913,-83.0415,25.9,18.5,28.6,,10.1
2022-02-03,Caribe,9.9913,-83.0415,24.4,18.5,29.1,,8.9
2022-02-04,Caribe,9.9913,-83.0415,25.5,20.5,28.0,,8.9
2022-02-05,Caribe,9.9913,-83.0415,26.3,19.9,29.1,,10.9
2022-02-06,Caribe,9.9913,-83.0415,26.3,20.0,28.2,,10.2
2022-02-07,Caribe,9.9913,-83.0415,26.7,20.0,29.1,,9.4
