,Forecast
2026-07-10,2.076043271107806
2026-07-11,1.9520699379344781
2026-07-12,1.894101053641902
2026-07-13,1.876231036086877
2026-07-14,1.8713207204308775
2026-07-15,1.8691996147235235
2026-07-16,1.867538942893346
2026-07-17,1.8660620990726682
2026-07-18,1.8647647639943492
2026-07-19,1.863621194826232
2026-07-20,1.8625949369536505
2026-07-21,1.8616619752513037
2026-07-22,1.8608115979366833
2026-07-23,1.860045187175274
2026-07-24,1.859344947586457
2026-07-25,1.858712434106403
2026-07-26,1.8581523115436236
2026-07-27,1.857653695344925
2026-07-28,1.8571967168814605
2026-07-29,1.856794852266709
2026-07-30,1.8564479287299844
2026-07-31,1.8561374598079257
2026-08-01,1.8558603356281915
2026-08-02,1.8556099909047286
2026-08-03,1.8553841796186235
2026-08-04,1.8551937863230705
2026-08-05,1.8550362194577852
2026-08-06,1.8548916103939215
2026-08-07,1.8547542576988538
2026-08-08,1.8546234702898396
