,Forecast
2026-07-10,1.5549572515901593
2026-07-11,1.5284655595777765
2026-07-12,1.513811488122576
2026-07-13,1.5055897046046127
2026-07-14,1.5004180115544135
2026-07-15,1.496709283375078
2026-07-16,1.4937569544795488
2026-07-17,1.4912700694882208
2026-07-18,1.4891107739963467
2026-07-19,1.487241092750596
2026-07-20,1.4856146507668828
2026-07-21,1.4841960138868957
2026-07-22,1.4829616769817142
2026-07-23,1.481876911752754
2026-07-24,1.4809007783358297
2026-07-25,1.4800210653576586
2026-07-26,1.4792333964879316
2026-07-27,1.4785245015637745
2026-07-28,1.477841794035501
2026-07-29,1.4771957206270763
2026-07-30,1.4765823285240267
2026-07-31,1.4759894063530699
2026-08-01,1.4753621793993648
2026-08-02,1.47469415375342
2026-08-03,1.4739712122206887
2026-08-04,1.473227306654056
2026-08-05,1.4725318230647182
2026-08-06,1.4718778440273472
2026-08-07,1.4711665491801171
2026-08-08,1.4703046238670747
