,Forecast
2026-07-03,1.83874015540878
2026-07-04,1.722100926851233
2026-07-05,1.6368855918894214
2026-07-06,1.578075975696246
2026-07-07,1.5366936116615932
2026-07-08,1.5064208968828123
2026-07-09,1.483321318621437
2026-07-10,1.4650842705319327
2026-07-11,1.4503313644578062
2026-07-12,1.4382009798039994
2026-07-13,1.4281192906796933
2026-07-14,1.419678241853913
2026-07-15,1.4125737118621668
2026-07-16,1.4065705839792888
2026-07-17,1.4014820391088725
2026-07-18,1.3971570404966673
2026-07-19,1.3934731089969479
2026-07-20,1.3903292690018814
2026-07-21,1.3876421231925489
2026-07-22,1.3853424961666267
2026-07-23,1.3833723056167366
2026-07-24,1.3816826850374542
2026-07-25,1.3802323908706509
2026-07-26,1.378987006078164
2026-07-27,1.3779171766241394
2026-07-28,1.3769977012723686
2026-07-29,1.376207304035624
2026-07-30,1.3755280652989945
2026-07-31,1.3749445116172236
2026-08-01,1.3744429330627126
